,mean,std,min,max
step_length,0.19999999999999996,5.579080615598709e-17,0.2,0.2
value of the found local minimum,-0.5041999999999999,0.14227715163998708,-0.55,0.04
number of steps,100.0,58.02298395176403,1.0,199.0
